"CountryCode","SeriesCode","Year","DESCRIPTION",
"AFG","IT.NET.USER.ZS","YR1990","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2001","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2002","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2003","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2004","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2005","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2006","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2007","Source: ITU estimate.; ITU estimate.; ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2008","Source: Ministry of Communications & Information Technology",
"AFG","IT.NET.USER.ZS","YR2009","Source: Ministry of Communications & Information Technology",
"AFG","IT.NET.USER.ZS","YR2010","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2011","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2012","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2013","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2014","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2015","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2016","Source: Asia Foundation;Note: 18+",
"AFG","IT.NET.USER.ZS","YR2017","Source: Asia Foundation;Note: 18+",
"AFG","SE.ADT.LITR.ZS","YR2018","UIS estimate",
"AFG","SE.ENR.PRSC.FM.ZS","YR2003","UIS estimate",
"AFG","SE.ENR.PRSC.FM.ZS","YR2017","UIS estimate",
"AFG","SE.XPD.TOTL.GB.ZS","YR2016","UIS estimate",
"AFG","SE.XPD.TOTL.GB.ZS","YR2017","UIS estimate",
"AFG","SH.DYN.MORT","YR1961","Uncertainty bound is 301.3 - 408.5",
"AFG","SH.DYN.MORT","YR1962","Uncertainty bound is 299.9 - 398.1",
"AFG","SH.DYN.MORT","YR1963","Uncertainty bound is 297.6 - 388.9",
"AFG","SH.DYN.MORT","YR1964","Uncertainty bound is 294.2 - 380.7",
"AFG","SH.DYN.MORT","YR1965","Uncertainty bound is 290.3 - 373.5",
"AFG","SH.DYN.MORT","YR1966","Uncertainty bound is 285.9 - 367.2",
"AFG","SH.DYN.MORT","YR1967","Uncertainty bound is 281.6 - 361.1",
"AFG","SH.DYN.MORT","YR1968","Uncertainty bound is 276.7 - 355.7",
"AFG","SH.DYN.MORT","YR1969","Uncertainty bound is 272 - 349.8",
"AFG","SH.DYN.MORT","YR1970","Uncertainty bound is 267.1 - 344.1",
"AFG","SH.DYN.MORT","YR1971","Uncertainty bound is 262.8 - 338.5",
"AFG","SH.DYN.MORT","YR1972","Uncertainty bound is 258.2 - 332.6",
"AFG","SH.DYN.MORT","YR1973","Uncertainty bound is 253.2 - 326.5",
"AFG","SH.DYN.MORT","YR1974","Uncertainty bound is 248.5 - 319.2",
"AFG","SH.DYN.MORT","YR1975","Uncertainty bound is 244 - 312.2",
"AFG","SH.DYN.MORT","YR1976","Uncertainty bound is 239 - 304.9",
"AFG","SH.DYN.MORT","YR1977","Uncertainty bound is 234.2 - 297.4",
"AFG","SH.DYN.MORT","YR1978","Uncertainty bound is 229 - 290.3",
"AFG","SH.DYN.MORT","YR1979","Uncertainty bound is 223.5 - 282.4",
"AFG","SH.DYN.MORT","YR1980","Uncertainty bound is 218.3 - 275.2",
"AFG","SH.DYN.MORT","YR1981","Uncertainty bound is 213.1 - 267.6",
"AFG","SH.DYN.MORT","YR1982","Uncertainty bound is 207.7 - 259.9",
"AFG","SH.DYN.MORT","YR1983","Uncertainty bound is 202 - 252.2",
"AFG","SH.DYN.MORT","YR1984","Uncertainty bound is 196.7 - 243.8",
"AFG","SH.DYN.MORT","YR1985","Uncertainty bound is 191.2 - 235.6",
"AFG","SH.DYN.MORT","YR1986","Uncertainty bound is 185.7 - 227.3",
"AFG","SH.DYN.MORT","YR1987","Uncertainty bound is 180.1 - 218.8",
"AFG","SH.DYN.MORT","YR1988","Uncertainty bound is 174.7 - 210.4",
"AFG","SH.DYN.MORT","YR1989","Uncertainty bound is 169.3 - 202.6",
"AFG","SH.DYN.MORT","YR1990","Uncertainty bound is 163.9 - 194.8",
"AFG","SH.DYN.MORT","YR1991","Uncertainty bound is 158.6 - 187.4",
"AFG","SH.DYN.MORT","YR1992","Uncertainty bound is 153.6 - 180.7",
"AFG","SH.DYN.MORT","YR1993","Uncertainty bound is 148.7 - 174.3",
"AFG","SH.DYN.MORT","YR1994","Uncertainty bound is 143.9 - 168.5",
"AFG","SH.DYN.MORT","YR1995","Uncertainty bound is 139.4 - 162.9",
"AFG","SH.DYN.MORT","YR1996","Uncertainty bound is 135.4 - 157.8",
"AFG","SH.DYN.MORT","YR1997","Uncertainty bound is 131.5 - 152.9",
"AFG","SH.DYN.MORT","YR1998","Uncertainty bound is 127.8 - 148.2",
"AFG","SH.DYN.MORT","YR1999","Uncertainty bound is 124.1 - 143.7",
"AFG","SH.DYN.MORT","YR2000","Uncertainty bound is 120.3 - 139.3",
"AFG","SH.DYN.MORT","YR2001","Uncertainty bound is 116.5 - 134.9",
"AFG","SH.DYN.MORT","YR2002","Uncertainty bound is 112.6 - 130.6",
"AFG","SH.DYN.MORT","YR2003","Uncertainty bound is 108.7 - 126",
"AFG","SH.DYN.MORT","YR2004","Uncertainty bound is 104.8 - 121.4",
"AFG","SH.DYN.MORT","YR2005","Uncertainty bound is 100.8 - 116.9",
"AFG","SH.DYN.MORT","YR2006","Uncertainty bound is 96.9 - 112.5",
"AFG","SH.DYN.MORT","YR2007","Uncertainty bound is 92.9 - 108",
"AFG","SH.DYN.MORT","YR2008","Uncertainty bound is 88.9 - 103.8",
"AFG","SH.DYN.MORT","YR2009","Uncertainty bound is 84.7 - 99.8",
"AFG","SH.DYN.MORT","YR2010","Uncertainty bound is 80.6 - 95.9",
"AFG","SH.DYN.MORT","YR2011","Uncertainty bound is 76.6 - 92.4",
"AFG","SH.DYN.MORT","YR2012","Uncertainty bound is 72.5 - 89.1",
"AFG","SH.DYN.MORT","YR2013","Uncertainty bound is 68.4 - 86.1",
"AFG","SH.DYN.MORT","YR2014","Uncertainty bound is 64.4 - 83.3",
"AFG","SH.DYN.MORT","YR2015","Uncertainty bound is 60.4 - 80.9",
"AFG","SH.DYN.MORT","YR2016","Uncertainty bound is 56.9 - 78.7",
"AFG","SH.DYN.MORT","YR2017","Uncertainty bound is 53.6 - 76.8",
"AFG","SH.DYN.MORT","YR2018","Uncertainty bound is 50.4 - 75.4",
"AFG","SH.STA.OWAD.ZS","YR1975","Plausible bound is 3.8 - 9",
"AFG","SH.STA.OWAD.ZS","YR1976","Plausible bound is 4 - 9.3",
"AFG","SH.STA.OWAD.ZS","YR1977","Plausible bound is 4.2 - 9.5",
"AFG","SH.STA.OWAD.ZS","YR1978","Plausible bound is 4.5 - 9.7",
"AFG","SH.STA.OWAD.ZS","YR1979","Plausible bound is 4.7 - 9.9",
"AFG","SH.STA.OWAD.ZS","YR1980","Plausible bound is 5 - 10.2",
"AFG","SH.STA.OWAD.ZS","YR1981","Plausible bound is 5.3 - 10.5",
"AFG","SH.STA.OWAD.ZS","YR1982","Plausible bound is 5.5 - 10.7",
"AFG","SH.STA.OWAD.ZS","YR1983","Plausible bound is 5.8 - 11",
"AFG","SH.STA.OWAD.ZS","YR1984","Plausible bound is 6 - 11.3",
"AFG","SH.STA.OWAD.ZS","YR1985","Plausible bound is 6.3 - 11.6",
"AFG","SH.STA.OWAD.ZS","YR1986","Plausible bound is 6.6 - 11.9",
"AFG","SH.STA.OWAD.ZS","YR1987","Plausible bound is 6.9 - 12.3",
"AFG","SH.STA.OWAD.ZS","YR1988","Plausible bound is 7.2 - 12.6",
"AFG","SH.STA.OWAD.ZS","YR1989","Plausible bound is 7.5 - 12.9",
"AFG","SH.STA.OWAD.ZS","YR1990","Plausible bound is 7.8 - 13.3",
"AFG","SH.STA.OWAD.ZS","YR1991","Plausible bound is 8.1 - 13.6",
"AFG","SH.STA.OWAD.ZS","YR1992","Plausible bound is 8.5 - 14",
"AFG","SH.STA.OWAD.ZS","YR1993","Plausible bound is 8.8 - 14.4",
"AFG","SH.STA.OWAD.ZS","YR1994","Plausible bound is 9.1 - 14.8",
"AFG","SH.STA.OWAD.ZS","YR1995","Plausible bound is 9.5 - 15.2",
"AFG","SH.STA.OWAD.ZS","YR1996","Plausible bound is 9.8 - 15.6",
"AFG","SH.STA.OWAD.ZS","YR1997","Plausible bound is 10.2 - 16.1",
"AFG","SH.STA.OWAD.ZS","YR1998","Plausible bound is 10.6 - 16.5",
"AFG","SH.STA.OWAD.ZS","YR1999","Plausible bound is 11 - 17",
"AFG","SH.STA.OWAD.ZS","YR2000","Plausible bound is 11.4 - 17.4",
"AFG","SH.STA.OWAD.ZS","YR2001","Plausible bound is 11.8 - 18",
"AFG","SH.STA.OWAD.ZS","YR2002","Plausible bound is 12.2 - 18.4",
"AFG","SH.STA.OWAD.ZS","YR2003","Plausible bound is 12.6 - 18.9",
"AFG","SH.STA.OWAD.ZS","YR2004","Plausible bound is 13.1 - 19.5",
"AFG","SH.STA.OWAD.ZS","YR2005","Plausible bound is 13.5 - 20",
"AFG","SH.STA.OWAD.ZS","YR2006","Plausible bound is 14 - 20.6",
"AFG","SH.STA.OWAD.ZS","YR2007","Plausible bound is 14.4 - 21.2",
"AFG","SH.STA.OWAD.ZS","YR2008","Plausible bound is 14.9 - 21.8",
"AFG","SH.STA.OWAD.ZS","YR2009","Plausible bound is 15.4 - 22.4",
"AFG","SH.STA.OWAD.ZS","YR2010","Plausible bound is 15.8 - 23.1",
"AFG","SH.STA.OWAD.ZS","YR2011","Plausible bound is 16.3 - 23.9",
"AFG","SH.STA.OWAD.ZS","YR2012","Plausible bound is 16.7 - 24.6",
"AFG","SH.STA.OWAD.ZS","YR2013","Plausible bound is 17.2 - 25.4",
"AFG","SH.STA.OWAD.ZS","YR2014","Plausible bound is 17.7 - 26.2",
"AFG","SH.STA.OWAD.ZS","YR2015","Plausible bound is 18.1 - 27",
"AFG","SH.STA.OWAD.ZS","YR2016","Plausible bound is 18.5 - 27.8",
"AFG","SI.POV.NAHC","YR2007","Source: National Statistics and Information Authority (NSIA, formerly CSO)  NRVA 2007-08 Poverty report (http://cso.gov.af/Content/files/ALCS/ALCS%202016-17%20Analysis%20report%20-%20Full%20report23%20_09%202018-ilovepdf-compressed.pdf). Poverty line is absolute. Government estimate.",
"AFG","SI.POV.NAHC","YR2011","Source: National Statistics and Information Authority (NSIA, formerly CSO)  NRVA 2011-12 Poverty report (http://cso.gov.af/Content/files/ALCS/ALCS%202016-17%20Analysis%20report%20-%20Full%20report23%20_09%202018-ilovepdf-compressed.pdf). Poverty line is absolute. Government estimate.",
"AFG","SI.POV.NAHC","YR2016","Source: National Statistics and Information Authority (NSIA, formerly CSO)  ALCS 2016-17 Poverty report (http://cso.gov.af/Content/files/ALCS/ALCS%202016-17%20Analysis%20report%20-%20Full%20report23%20_09%202018-ilovepdf-compressed.pdf). Poverty line is absolute. Government estimate.",
"AFG","SL.TLF.0714.ZS","YR2011","Multiple Indicator Cluster Survey (MICS).",
"AFG","SP.UWT.TFRT","YR2015","Source: Afghanistan 2015 Demographic and Health Survey",
"AGO","IT.NET.USER.ZS","YR2007","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2008","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2009","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2010","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2011","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2012","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2013","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2014","Source: Instituto Nacional de Estatística.;Note: 2014 Census. Share of population aged 5+ accessing the Internet in the past 12 months.",
"AGO","IT.NET.USER.ZS","YR2015","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2016","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2017","Source: ITU estimate.",
"AGO","SH.DYN.MORT","YR1980","Uncertainty bound is 181.1 - 312",
"AGO","SH.DYN.MORT","YR1981","Uncertainty bound is 185.3 - 297.5",
"AGO","SH.DYN.MORT","YR1982","Uncertainty bound is 188.2 - 286.5",
"AGO","SH.DYN.MORT","YR1983","Uncertainty bound is 190.6 - 277.9",
"AGO","SH.DYN.MORT","YR1984","Uncertainty bound is 192.4 - 270",
"AGO","SH.DYN.MORT","YR1985","Uncertainty bound is 193.4 - 264.6",
"AGO","SH.DYN.MORT","YR1986","Uncertainty bound is 194.6 - 259.9",
"AGO","SH.DYN.MORT","YR1987","Uncertainty bound is 196.1 - 256.2",
"AGO","SH.DYN.MORT","YR1988","Uncertainty bound is 196.6 - 253.8",
"AGO","SH.DYN.MORT","YR1989","Uncertainty bound is 197.4 - 252.9",
"AGO","SH.DYN.MORT","YR1990","Uncertainty bound is 198.3 - 252",
"AGO","SH.DYN.MORT","YR1991","Uncertainty bound is 198.7 - 251.8",
"AGO","SH.DYN.MORT","YR1992","Uncertainty bound is 199.3 - 252",
"AGO","SH.DYN.MORT","YR1993","Uncertainty bound is 199.3 - 252.1",
"AGO","SH.DYN.MORT","YR1994","Uncertainty bound is 199.4 - 252.1",
"AGO","SH.DYN.MORT","YR1995","Uncertainty bound is 198.6 - 251.7",
"AGO","SH.DYN.MORT","YR1996","Uncertainty bound is 197 - 250.2",
"AGO","SH.DYN.MORT","YR1997","Uncertainty bound is 194.5 - 247.8",
"AGO","SH.DYN.MORT","YR1998","Uncertainty bound is 190.6 - 244.6",
"AGO","SH.DYN.MORT","YR1999","Uncertainty bound is 186.1 - 240.7",
"AGO","SH.DYN.MORT","YR2000","Uncertainty bound is 180.7 - 235.5",
"AGO","SH.DYN.MORT","YR2001","Uncertainty bound is 174.5 - 229.9",
"AGO","SH.DYN.MORT","YR2002","Uncertainty bound is 167.7 - 222.8",
"AGO","SH.DYN.MORT","YR2003","Uncertainty bound is 159.4 - 215.5",
"AGO","SH.DYN.MORT","YR2004","Uncertainty bound is 149.9 - 207.3",
"AGO","SH.DYN.MORT","YR2005","Uncertainty bound is 139.4 - 199.6",
"AGO","SH.DYN.MORT","YR2006","Uncertainty bound is 128 - 191.9",
"AGO","SH.DYN.MORT","YR2007","Uncertainty bound is 116.3 - 184.5",
"AGO","SH.DYN.MORT","YR2008","Uncertainty bound is 105 - 178.5",
"AGO","SH.DYN.MORT","YR2009","Uncertainty bound is 93.8 - 172.7",
"AGO","SH.DYN.MORT","YR2010","Uncertainty bound is 83.3 - 168.1",
"AGO","SH.DYN.MORT","YR2011","Uncertainty bound is 73.4 - 164.3",
"AGO","SH.DYN.MORT","YR2012","Uncertainty bound is 64.2 - 160.6",
"AGO","SH.DYN.MORT","YR2013","Uncertainty bound is 56.9 - 157.2",
"AGO","SH.DYN.MORT","YR2014","Uncertainty bound is 51 - 154.2",
"AGO","SH.DYN.MORT","YR2015","Uncertainty bound is 46.2 - 151.2",
"AGO","SH.DYN.MORT","YR2016","Uncertainty bound is 42.5 - 148.6",
"AGO","SH.DYN.MORT","YR2017","Uncertainty bound is 38.9 - 145.8",
"AGO","SH.DYN.MORT","YR2018","Uncertainty bound is 36.3 - 144.2",
"AGO","SH.STA.OWAD.ZS","YR1975","Plausible bound is 5.2 - 12.3",
"AGO","SH.STA.OWAD.ZS","YR1976","Plausible bound is 5.5 - 12.5",
"AGO","SH.STA.OWAD.ZS","YR1977","Plausible bound is 5.7 - 12.6",
"AGO","SH.STA.OWAD.ZS","YR1978","Plausible bound is 6 - 12.9",
"AGO","SH.STA.OWAD.ZS","YR1979","Plausible bound is 6.3 - 13.1",
"AGO","SH.STA.OWAD.ZS","YR1980","Plausible bound is 6.7 - 13.4",
